Sl.No,Company Name,Website,Twitter_url,Facebook_url,Linkedin_url,Crunchbase_url,City,Country,CEO,CTO,EMAIL
1,Chainalysis,chainalysis.com,twitter.com/chainalysis,facebook.com/Chainalysis,linkedin.com/company/chainalysis,crunchbase.com/organization/chainalysis,New York,United States,Michael Gronager .,Pratima Arora,info@chainalysis.com
2,Remitly,remitly.com,twitter.com/remitly,facebook.com/Remitly,linkedin.com/company/remitly,crunchbase.com/organization/remitly,Seattle,United States,Matt Oppenheimer .,Ankur Sinha,datasubjectrequest@remitly.com
3,DataRobot,datarobot.com,twitter.com/DataRobot,facebook.com/datarobotinc,linkedin.com/company/datarobot,crunchbase.com/organization/datarobot,Boston,United States,Debanjan Saha .,Michael Schmidt,info@datarobot.com
4,DigitalOcean,digitalocean.com,twitter.com/digitalocean,facebook.com/DigitalOceanCloudHosting,linkedin.com/company/digitalocean,crunchbase.com/organization/digitalocean,New York,United States,Yancey Spruill .,Matt Steinfort,contact@digitalocean.com
5,Outreach,outreach.io,twitter.com/outreach_io,facebook.com/Outreach.io/,linkedin.com/company/outreach-saas,crunchbase.com/organization/outreach,Seattle,United States,Manny Medina,Sean Phillips,hr@outreach.io
6,Zipline,flyzipline.com,twitter.com/zipline,facebook.com/flyzipline/,linkedin.com/company/flyzipline,crunchbase.com/organization/zipline-international,San Francisco,United States,Keller Rinaudo .,Keenan Wyrobek,info@flyzipline.com
7,TradingView,tradingview.com,twitter.com/tradingview,facebook.com/tradingview,linkedin.com/company/tradingview,crunchbase.com/organization/tradingview,New York City,United States,Dennis Globa .,Konstantin Ivanov,instagram@tradingview.com
8,SalesLoft,salesloft.com,twitter.com/salesloft,facebook.com/SalesLoft,linkedin.com/company/salesloft,crunchbase.com/organization/salesloft,Atlanta,United States,Kyle Porter .,smitchelus,kk@salesloft.com
9,Veho,shipveho.com,twitter.com/shipveho,facebook.com/pg/VehoDrivers,linkedin.com/company/shipveho,crunchbase.com/organization/veho-technologies,Boulder,United States,Niklas Östberg .,Frederick Cook,support@shipveho.com
10,Latch,latch.com,twitter.com/latchaccess,facebook.com/LatchAccess/,linkedin.com/company/latch,crunchbase.com/organization/latch,New York,United States,Luke Schoenfelder .,Brian Jones,contact@latch.com
11,Alloy,alloy.co,twitter.com/usealloy,facebook.com/usealloy/,linkedin.com/company/alloy-apis,crunchbase.com/organization/alloy-2,Brooklyn,United States,Tommy Nicholas .,charleshearn,hello@alloy.com
12,Self,self.inc,twitter.com/SelfCreditApp,facebook.com/SelfFinancialInc/,linkedin.com/company/self-financial,crunchbase.com/organization/self-b0c2,Austin,United States,James Garvey .,David McCann,help@self.inc
13,Degreed,degreed.com,twitter.com/degreed,facebook.com/degreedofficial,linkedin.com/company/degreed,crunchbase.com/organization/degreed,San Francisco,United States,Chris McCarthy .,Girish Manwani,info@degreed.com
14,GINGER.IO,ginger.com,twitter.com/carebyginger,facebook.com/pages/Gingerio/216227078391733,linkedin.com/company/carebyginger,crunchbase.com/organization/ginger-io,San Francisco,United States,Russell Glass .,Ritwik Bhattacharya,help@ginger.com
15,Owlet Baby Care,owletcare.com,twitter.com/owletbabycare,facebook.com/OwletBabyMonitors,linkedin.com/company/owlet-care-monitors,crunchbase.com/organization/owlet,Lehi,United States,Kurt Workman .,Zack B.,contact@owletcare.com
16,Newsela,newsela.com,twitter.com/Newsela,facebook.com/pages/Newsela/185071784987014,linkedin.com/company/newsela,crunchbase.com/organization/newsela,New York,United States,Matthew Gross .,Derrick Ware,social@newsela.com
17,Sendbird,sendbird.com,twitter.com/sendbird,facebook.com/sendbird,linkedin.com/company/sendbird,crunchbase.com/organization/sendbird,San Mateo,United States,John S. Kim .,Jeongjin Ku,support@sendbird.com
18,PillPack,pillpack.com,twitter.com/pillpack,facebook.com/pillpack,linkedin.com/company/pillpack,crunchbase.com/organization/pillpack,Manchester,United States,TJ Parker .,Elliot Cohen,hello@pillpack.com
19,Bluecore,bluecore.com,twitter.com/Bluecore,facebook.com/getbluecore,linkedin.com/company/bluecore,crunchbase.com/organization/triggermail,New York,United States,Fayez Mohamood .,Mahmoud Arram,marketing@bluecore.com
20,Novo,novo.co,twitter.com/novo_hq,facebook.com/Novo.coHQ/,linkedin.com/company/novo-hq,crunchbase.com/organization/novo-4f69,New York,United States,Tyler McIntyre .,Tyler McIntyre,support@novo.co
21,Gorgias,gorgias.com,twitter.com/gorgiasio,facebook.com/gorgiasio,linkedin.com/company/gorgias,crunchbase.com/organization/gorgias,San Francisco,United States,Romain Lapeyre.,Alex Plugaru,support@gorgias.io
22,Quantive,quantive.com,twitter.com/quantive_inc,facebook.com/quantive.inc,linkedin.com/company/gtmhub,crunchbase.com/organization/quantive-inc,Sofia,Bulgaria,Ivan Osmak.,Radoslav Georgiev,support@quantive.com
23,Openly,openly.com,twitter.com/openlyllc,facebook.com/openlyllc,linkedin.com/company/openlyinc,crunchbase.com/organization/openly-inc,Boston,United States,Matt Wielbut,Christopher Bacon,marketing@openly.com
24,SendGrid,sendgrid.com,twitter.com/Twilio,facebook.com/SendGrid,linkedin.com/company/sendgrid,crunchbase.com/organization/sendgrid,Denver,United States,Sameer Dholakia.,Tim Jenkins,twittersupport@sendgrid.com
25,Artera,artera.io,twitter.com/Artera_io,facebook.com/artera.io/,linkedin.com/company/artera-io,crunchbase.com/organization/well-health-inc,Santa Barbara,United States,Guillaume de Zwirek.,Ashu Agte,social@artera.io
26,GlossGenius,glossgenius.com,twitter.com/glossgenius,facebook.com/glossgenius,linkedin.com/company/glossgenius,crunchbase.com/organization/glossgenuis,New York,United States,Danielle Cohen-Shohet,Christopher Cunningham,info@glossgenius.com
27,Twelve Benefit,twelve.co,twitter.com/twelve_co2,facebook.com/twelve.co2/,linkedin.com/company/twelveco2,crunchbase.com/organization/opus-12,Berkeley,United States,Dr. Etosha Cave,Nicholas Flanders,hello@twelve.co
28,Contently,contently.com,twitter.com/contently,facebook.com/contently,linkedin.com/company/contently,crunchbase.com/organization/contently,New York,United States,Pearl Collings.,Contently,support@contently.com
29,Synack,synack.com,twitter.com/synack,facebook.com/synack,linkedin.com/company/synack-inc-,crunchbase.com/organization/synack,Redwood City,United States,Jay Kaplan.,Mark Kuhr,info@synack.com
30,Kepler Communications,kepler.space,twitter.com/KeplerComms,facebook.com/KeplerCommunications,linkedin.com/company/kepler-communications-inc-,crunchbase.com/organization/kepler-communications,Toronto,Canada,Mina Mitry.,Wen Cheng Chong,info@kepler.space
31,Preply,preply.com,twitter.com/preplycom,facebook.com/preply/,linkedin.com/company/2762432,crunchbase.com/organization/preply,Brighton,United States,Kirill Bigai.,Dmytro Voloshyn,support@preply.com
32,INSPECTORIO,inspectorio.com,twitter.com/inspectorio,facebook.com/inspectorioinc,linkedin.com/company/inspectorio,crunchbase.com/organization/inspectorio,Minneapolis,United States,Carlos Moncayo,Krishnan Sarangapani,hiring@inspectorio.com
33,StatMuse,statmuse.com,twitter.com/StatMuse,facebook.com/statmuse,linkedin.com/company/statmuse-inc-,crunchbase.com/organization/statmuse,San Francisco,United States,John West.,Jay Hill,hello@statmuse.com
34,LogicGate,logicgate.com,twitter.com/LogicGate,facebook.com/LogicGateRiskCloud/,linkedin.com/company/logic-gate,crunchbase.com/organization/logicgate,Chicago,United States,Matt Kunkel.,Jay Jamison,support@logicgate.com
35,Damon Motorcycles,damon.com,twitter.com/damonmotorcycle,facebook.com/damonmotorcycles/,linkedin.com/company/damonxlabs,crunchbase.com/organization/damon-x-labs,Vancouver,Canada,Jay Giraud.,Dom Kwong,info@damon.com
36,Community,community.com,twitter.com/community,facebook.com/incommunity/,linkedin.com/company/communitydotcom,crunchbase.com/organization/shimmur,Los Angeles,United States,Diankha Linear,Barry Steinglass,Not Avaliable
37,Narmi,narmi.com,twitter.com/Narmi_Tech,facebook.com/narmitech,linkedin.com/company/narmi,crunchbase.com/organization/narmi,New York,United States,Nikhil Lakhanpal.,Nikhil Lakhanpal,contact@narmi.com
38,Branch,branchapp.com,twitter.com/branchmessenger,facebook.com/branch/,linkedin.com/company/branch-app,crunchbase.com/organization/branch-messenger,Minneapolis,United States,Atif Siddiqi.,Anshul Agrawal,press@branch.io
39,BentoBox,getbento.com,twitter.com/get_bento,facebook.com/getbentobox/,linkedin.com/company/bentobox,crunchbase.com/organization/bentobox,New York,United States,Krystle Mobayeni.,Pierre Drescher,support@getbento.com
40,MANTL,mantl.com,twitter.com/mantl_tech,facebook.com/mantltech/,linkedin.com/company/mantl,crunchbase.com/organization/mantl,New York,United States,Nathaniel Harley.,Benjamin Conant,hello@mantl.com
41,Lifebit Biotech,lifebit.ai,twitter.com/lifebitAI,facebook.com/lifebitAI/,linkedin.com/company/lifebit-ai,crunchbase.com/organization/lifebit-biotech,London,United Kingdom,Lifebit Biotech,Pablo Prieto Barja,evangelos@lifebit.ai
42,Comet,comet.com,twitter.com/Cometml,facebook.com/cometdotml/,linkedin.com/company/comet-ml,crunchbase.com/organization/comet-ml,New York,United States,Kevin Crofton,William Schaefer,support@comet.ml
43,Solid,solidfi.com,NaN,NaN,linkedin.com/company/solidfi,crunchbase.com/organization/solidfi#section-overview,Palo Alto,United States,Arjun,Yong Hoon KANG,contact@solid1972.com
44,Project Canary,projectcanary.com,twitter.com/ProjectCanary1,facebook.com/denverprojectcanary/,linkedin.com/company/projectcanary,crunchbase.com/organization/project-canary,Denver,United States,William Foiles,Ray Mistry,info@projectcanary.com
45,Tive,tive.com,twitter.com/tiveinc,NaN,linkedin.com/company/tiveinc,crunchbase.com/organization/tive,Boston,United States,Krenar Komoni,John Metzler.,sales@tive.com
46,Solstice,solstice.us,twitter.com/solarforgood,facebook.com/solarforgood/,linkedin.com/company/solarforgood,crunchbase.com/organization/solstice-2,Boston,United States,Steph Speirs,Michael Monk,info@solstice.us
