Sl.No,Company Name,Website,Twitter_url,Linkedin_url,Crunchbase_url,City,EMAIL
1,Chainalysis,chainalysis.com,twitter.com/chainalysis,linkedin.com/company/chainalysis,crunchbase.com/organization/chainalysis,New York,info@chainalysis.com
2,Remitly,remitly.com,twitter.com/remitly,linkedin.com/company/remitly,crunchbase.com/organization/remitly,Seattle,datasubjectrequest@remitly.com
3,DataRobot,datarobot.com,twitter.com/DataRobot,linkedin.com/company/datarobot,crunchbase.com/organization/datarobot,Boston,info@datarobot.com
4,DigitalOcean,digitalocean.com,twitter.com/digitalocean,linkedin.com/company/digitalocean,crunchbase.com/organization/digitalocean,New York,contact@digitalocean.com
5,Outreach,outreach.io,twitter.com/outreach_io,linkedin.com/company/outreach-saas,crunchbase.com/organization/outreach,Seattle,hr@outreach.io
6,Zipline,flyzipline.com,twitter.com/zipline,linkedin.com/company/flyzipline,crunchbase.com/organization/zipline-international,San Francisco,info@flyzipline.com
7,TradingView,tradingview.com,twitter.com/tradingview,linkedin.com/company/tradingview,crunchbase.com/organization/tradingview,New York City,instagram@tradingview.com
8,SalesLoft,salesloft.com,twitter.com/salesloft,linkedin.com/company/salesloft,crunchbase.com/organization/salesloft,Atlanta,kk@salesloft.com
9,Veho,shipveho.com,twitter.com/shipveho,linkedin.com/company/shipveho,crunchbase.com/organization/veho-technologies,Boulder,support@shipveho.com
10,Latch,latch.com,twitter.com/latchaccess,linkedin.com/company/latch,crunchbase.com/organization/latch,New York,contact@latch.com
11,Alloy,alloy.co,twitter.com/usealloy,linkedin.com/company/alloy-apis,crunchbase.com/organization/alloy-2,Brooklyn,hello@alloy.com
12,Self,self.inc,twitter.com/SelfCreditApp,linkedin.com/company/self-financial,crunchbase.com/organization/self-b0c2,Austin,help@self.inc
13,Degreed,degreed.com,twitter.com/degreed,linkedin.com/company/degreed,crunchbase.com/organization/degreed,San Francisco,info@degreed.com
14,GINGER.IO,ginger.com,twitter.com/carebyginger,linkedin.com/company/carebyginger,crunchbase.com/organization/ginger-io,San Francisco,help@ginger.com
15,Owlet Baby Care,owletcare.com,twitter.com/owletbabycare,linkedin.com/company/owlet-care-monitors,crunchbase.com/organization/owlet,Lehi,contact@owletcare.com
16,Newsela,newsela.com,twitter.com/Newsela,linkedin.com/company/newsela,crunchbase.com/organization/newsela,New York,social@newsela.com
17,Sendbird,sendbird.com,twitter.com/sendbird,linkedin.com/company/sendbird,crunchbase.com/organization/sendbird,San Mateo,support@sendbird.com
18,PillPack,pillpack.com,twitter.com/pillpack,linkedin.com/company/pillpack,crunchbase.com/organization/pillpack,Manchester,hello@pillpack.com
19,Bluecore,bluecore.com,twitter.com/Bluecore,linkedin.com/company/bluecore,crunchbase.com/organization/triggermail,New York,marketing@bluecore.com
20,Novo,novo.co,twitter.com/novo_hq,linkedin.com/company/novo-hq,crunchbase.com/organization/novo-4f69,New York,support@novo.co
21,Gorgias,gorgias.com,twitter.com/gorgiasio,linkedin.com/company/gorgias,crunchbase.com/organization/gorgias,San Francisco,support@gorgias.io
22,Quantive,quantive.com,twitter.com/quantive_inc,linkedin.com/company/gtmhub,crunchbase.com/organization/quantive-inc,Sofia,support@quantive.com
23,Openly,openly.com,twitter.com/openlyllc,linkedin.com/company/openlyinc,crunchbase.com/organization/openly-inc,Boston,marketing@openly.com
24,SendGrid,sendgrid.com,twitter.com/Twilio,linkedin.com/company/sendgrid,crunchbase.com/organization/sendgrid,Denver,twittersupport@sendgrid.com
25,Artera,artera.io,twitter.com/Artera_io,linkedin.com/company/artera-io,crunchbase.com/organization/well-health-inc,Santa Barbara,social@artera.io
26,GlossGenius,glossgenius.com,twitter.com/glossgenius,linkedin.com/company/glossgenius,crunchbase.com/organization/glossgenuis,New York,info@glossgenius.com
27,Twelve Benefit,twelve.co,twitter.com/twelve_co2,linkedin.com/company/twelveco2,crunchbase.com/organization/opus-12,Berkeley,hello@twelve.co
28,Contently,contently.com,twitter.com/contently,linkedin.com/company/contently,crunchbase.com/organization/contently,New York,support@contently.com
29,Synack,synack.com,twitter.com/synack,linkedin.com/company/synack-inc-,crunchbase.com/organization/synack,Redwood City,info@synack.com
30,Kepler Communications,kepler.space,twitter.com/KeplerComms,linkedin.com/company/kepler-communications-inc-,crunchbase.com/organization/kepler-communications,Toronto,info@kepler.space
31,Preply,preply.com,twitter.com/preplycom,linkedin.com/company/2762432,crunchbase.com/organization/preply,Brighton,support@preply.com
32,INSPECTORIO,inspectorio.com,twitter.com/inspectorio,linkedin.com/company/inspectorio,crunchbase.com/organization/inspectorio,Minneapolis,hiring@inspectorio.com
33,StatMuse,statmuse.com,twitter.com/StatMuse,linkedin.com/company/statmuse-inc-,crunchbase.com/organization/statmuse,San Francisco,hello@statmuse.com
